Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ram Singh,Bhartiya Shakti Chetna Party,0,5th Pass,64,956000,0
Rekha Verma,SP,0,Post Graduate,61,130916338,2139000
Riya Shakya,BJP,0,Graduate,25,1391541,0
Sanjiv Kumar,Jan Adhikar Party,0,Post Graduate,46,1150000,0
Suman Vyas,INC,0,Post Graduate,58,33825000,0
Awadhesh Prasad,SP, 1 ,Post Graduate,77,39679511,1000000
Baba Gorakhnath,BJP, 1 ,Graduate,37,16093414,4150000
Brijesh Kumar,INC,0,Post Graduate,46,5840000,2350000
Hash Bardhan,AAP,0,10th Pass,67,8384597,770875
Mira Devi,BSP,0,8th Pass,39,21573540,0
Radheshyam,Moulik Adhikar Party,0,Graduate,65,1556000,0
Shiv Murti,IND,0,Graduate Professional,31,35000,0
Akhilesh Yadav,INC, 6 ,12th Pass,37,30150668,3830184
Amit Singh Chauhan,BJP,0,Graduate Professional,34,11979411,1285652
Bhupendra Pratap,IND,0,12th Pass,46,3412859,310000
Disha Patel,Apana Dal Balihari Party, 1 ,Graduate,31,9776129,0
Firoz Khan,SP, 1 ,Graduate,46,66039409,0
Hajari Lal,Rashtriya Bhagidari Party,0,Post Graduate,47,11838000,355000
Jang Bahadur,Moulik Adhikar Party,0,12th Pass,37,2342700,650000
Madhu Dwivedi,CPI,0,Post Graduate,46,1821500,75000
Raj Kumar,Jan Adhikar Party,0,10th Pass,26,152000,0
Sunil,BSP, 3 ,Post Graduate,56,15131337,188105
Sunil Kumar,AAP,0,Post Graduate,45,7772806,1100000
Brajendra Dutt Tripathi,Adarshwaadi Congress Party,0,Post Graduate,47,236558,0
Rajesh Kumar,Jan Adhikar Party (Loktantrik),0,Post Graduate,39,2411518,0
Ramesh Kumar Chaubey,Bhartiya Shakti Chetna Party,0,8th Pass,37,6323036,959082
Ravi Prakash,BSP, 3 ,12th Pass,33,1613438,1033051
Reeta,INC, 1 ,12th Pass,49,29169409,640350
Sanjay Sharma,Moulik Adhikar Party,0,Graduate,38,4789303,0
Subham Srivastav,AAP, 2 ,Graduate,28,165000,0
Suryakant Pandey,CPI,0,10th Pass,60,2996150,0
Tej Narayan,SP, 7 ,Post Graduate,41,2296129,1410906
Ved Prakash,BJP,0,Graduate,74,55300914,1286050
Abhay Singh,SP, 10 ,Graduate,47,67124503,3620426
Alok Dwivedi,AAP,0,Post Graduate,39,3685500,875000
Arti Tiwari,BJP,0,Post Graduate,30,9126000,193054
Bed Prakash,Vikassheel Insaan Party,0,8th Pass,37,261400,0
Ram Sagar,BSP,0,12th Pass,50,36063366,2746852
Sarvesh Kumar,IND, 4 ,Graduate,39,3970000,0
Savita,Kisan Party (Loktantrik),0,Post Graduate,35,7870000,800000
Sharada Devi,INC,0,5th Pass,66,48431876,360000
Abbas Ali Zaidi Alias Rushdi,BSP, 1 ,Graduate,46,176747283,1705000
Anand Sen,SP, 2 ,12th Pass,58,37466721,1381545
Dayanand Shukla,INC,0,10th Pass,53,41082645,300000
Kumud Kumari,Rashtrawadi Party of India,0,12th Pass,38,106500,0
Kusum Kumar,IND,0,Graduate,32,172000,0
Manoj Kumar Mishra,AAP,0,Graduate Professional,32,1660000,0
Mo. Munsaf,Peace Party,0,12th Pass,50,2575000,0
Mohammad Sher Afgan,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,45,23289169,0
Raj Karan,Sabka Dal United,0,Post Graduate,31,650000,0
Ram Chandra Yadav,BJP, 2 ,12th Pass,53,24685191,14889410
Dr. Sangram,SP, 5 ,Post Graduate,51,30383322,0
Dr.Seema Pandey,IND,0,Post Graduate,52,91179394,18468521
Prashant Singh,Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate Professional,40,51286151,8402270
Ram Devi,IND,0,Literate,53,367500,0
Ramdhari,Rashtriya Bhagidari Party,0,8th Pass,38,141000,0
Ramesh Chand,INC,0,Graduate Professional,46,9845000,0
Ramesh Kumar,AAP,0,12th Pass,57,22489071,6545785
Saroj Kumar,BSP,0,Doctorate,61,91199394,18468521
Saurabh Nishad,Vikassheel Insaan Party, 1 ,Graduate Professional,29,216743,0
Umesh Kumar Maurya,Jan Adhikar Party,0,Graduate,27,6000,0
Abdula,All India Majlis-E-Ittehadul Muslimeen, 2 ,8th Pass,31,167000,0
Er. Sunil Kumar Yadav,AAP,0,Graduate Professional,36,10778173,0
Manoj Kumar,Bahujan Mukti Party,0,Graduate,38,3170000,0
Mirza Shan Alam Beg,INC, 3 ,Graduate Professional,35,3348285,0
Mitrasen,IND,0,Graduate,34,2000943,450000
Munna Lal,Rashtrawadi Janwadi Manch,0,Graduate,41,13600,0
Nafees Ahmad,SP, 1 ,Post Graduate,41,10876777,0
Ramesh Chand Yadav,BSP,0,Graduate Professional,52,62511332,7758938
Satyendra Rai,BJP, 4 ,12th Pass,46,76251935,26270906
Subash,Naitik Party,0,Others,37,2888000,0
Yogendra Yadav,Vikassheel Insaan Party, 2 ,Others,58,5700000,0
Abhimanyu,Bahujan Mukti Party,0,12th Pass,49,4920000,320000
Amirchand Ramlakhan Yadav,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,58,123090000,4100000
Babulal Bharti,IND,0,12th Pass,56,712000,0
Bandana Singh,BJP,0,Post Graduate,40,26845497,0
Chandrika,IND,0,Not Given,53,2065000,0
Hriday Narayan Singh Patel,SP,0,Post Graduate,52,164616030,25758000
Ishrak,IND, 4 ,Literate,32,48279,0
Mukesh Rai,AAP,0,Post Graduate,47,7564500,882000
Nesar,Peace Party,0,Literate,54,3333000,0
Pankaj Maurya,Jan Adhikar Party,0,Graduate,32,297000,0
Rana Khatoon,INC,0,Post Graduate,68,4724162,0
Sahtu,IND,0,5th Pass,54,129000,0
Virendra Yadav,Aam Janta Party (India),0,12th Pass,42,1181000,0
Abdussalam,BSP,0,Graduate,64,23975245,5100000
Akhilesh,SP, 3 ,12th Pass,59,1648201,0
Arvind Jaiswal,BJP, 2 ,Post Graduate,51,137402325,0
Kanhaiya,Aazad Samaj Party (Kanshi Ram), 1 ,Graduate,31,27500,0
Lal Bihari Mritak,IND,0,Literate,66,11443110,1500000
Mohammad Shameem,Bhartiya Sabka Dal,0,8th Pass,58,205000,0
Narendra Singh Chauhan,AAP,0,Graduate,26,3110000,0
Parveen Bano,INC,0,10th Pass,39,293140,0
Phuljhari Devi,IND,0,5th Pass,39,125000,0
Radheshyam,Rashtriya Bhagidari Party,0,Graduate,66,6866000,0
Ramdulare Rajbhar,Jan Adhikar Party,0,8th Pass,42,2140000,0
Ravishankar Bharat,Jan Raajya Party, 1 ,Post Graduate,40,6858738,3680000
Shah Alam (Guddu Jamali),All India Majlis-E-Ittehadul Muslimeen, 1 ,Post Graduate,48,1958570465,30634000
Akhilesh Kumar Mishra,BJP,0,Post Graduate,39,102031770,888599
Durga Prasad Yadav,SP, 3 ,Graduate Professional,69,224022739,1211494
Kamar Kamal,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,28,52000,0
Kripa Shankar Pathak,AAP, 2 ,Graduate,59,1503808,13000
Praveen Kumar Singh,INC, 4 ,Post Graduate,46,8703727,8807684
Rajiv Kumar Singh,IND,0,Graduate,45,7754000,0
Rishikant Yadav,Aazad Samaj Party (Kanshi Ram),0,12th Pass,29,2053500,1020000
Suryanath,Bhartiya Gadar Party (S),0,12th Pass,49,10088282,50000
Sushil Kumar Singh,BSP, 2 ,Post Graduate,46,56624130,2200000
Abdurrahman Ansari,All India Majlis-E-Ittehadul Muslimeen, 1 ,Graduate,50,4600000,0
Akhtar Ali,Aazad Samaj Party (Kanshi Ram),0,Doctorate,48,2938000,0
Alam Badi,SP,0,12th Pass,86,5001036,0
Anil Kumar Yadav,INC, 1 ,Post Graduate,31,174409,0
Arasad,Bahujan Kranti Party (Marxwad-Ambedkarwad),0,12th Pass,45,4183000,0
Jitendra,CPI,0,Post Graduate,48,627994,0
Manoj,BJP,0,Graduate,39,14960524,586600
Piyush Kumar Singh,BSP,0,Graduate Professional,41,345092949,13419881
Rajiv Yadav,IND,0,Others,38,1675169,0
Rajmani Mishra,IND,0,Graduate,69,0,0
Shah Kamar,Rashtriya Jantantrik Bharat Vikas Party, 4 ,Literate,30,40789,0
Shahriyar Mohammed Sadiq,AAP,0,10th Pass,48,7053165,0
Sushil Kumar Yadav,Rashtriya Teesara Vikalp Party,0,Graduate,34,132000,0
Amit Kumar,Aazad Samaj Party (Kanshi Ram),0,Graduate,29,700000,0
Jitendra Kumar,IND,0,Graduate,68,3050500,0
Kiran,AAP,0,Graduate,30,793200,100000
Mo Shahid,INC,0,Graduate,36,3791095,200000
Paras Nath,IND,0,12th Pass,70,9795000,0
Ram Avtar,IND,0,Graduate,43,1100000,180000
Ram Surat,BJP, 3 ,Graduate Professional,61,2211029,0
Ramakant,SP, 3 ,10th Pass,62,102209852,0
Shakeel Ahmad,BSP, 2 ,Graduate,56,38745659,0
Yogendra Pratap,Jan Adhikar Party,0,Graduate,46,4292000,70000
Awadhesh Kumar Singh,INC,0,Graduate,52,105135186,6103143
Gulab,IND,0,Post Graduate,47,4572282,0
Huzaifa Amir,Rashtriya Ulama Council, 10 ,Graduate,25,280125,0
Jalaluddin,IND, 1 ,Literate,62,1732165,2600
Jitendra,Bahujan Mukti Party,0,10th Pass,41,1067000,0
Kamalkant,SP,0,Post Graduate,40,41697663,2000000
Krishnamurari,BJP,0,Graduate Professional,59,30744292,5141678
Lalman Yadav,Sanatan Sanskriti Raksha Dal,0,8th Pass,49,90100,0
Mahendra Prasad Bind,Peoples Party of India (Democratic),0,Post Graduate,34,4469219,770000
Mohammad Nadeen Khan,IND,0,Graduate,45,150000,0
Rashmi Vishwakarma,AAP,0,Post Graduate,40,94630,0
Vipendra,IND,0,Post Graduate,47,15052236,200000
Zaved,All India Majlis-E-Ittehadul Muslimeen,0,8th Pass,57,2110000,0
Arvind,Bahujan Awam Party,0,8th Pass,32,278000,0
Azad Arimardan,BSP, 1 ,Graduate Professional,49,133233633,0
Bechai,SP,0,12th Pass,51,8243697,500000
Hariram,AAP,0,Post Graduate,55,19990979,0
Karmraj,LJP,0,Graduate,56,11939000,0
Neelam,BJP, 1 ,Post Graduate,46,61301747,5400000
Pushpa Bhartiy,INC,0,Post Graduate,30,139000,0
Rajnath Dasai Jaiswar,Aazad Samaj Party (Kanshi Ram),0,8th Pass,54,947000,50000
Ramchandar,IND, 4 ,5th Pass,51,6159000,50000
Ripusudan,Jan Adhikar Party,0,8th Pass,52,1470000,0
Gitanjali Devi,AAP,0,Graduate Professional,40,285200,0
Jiyalal,CPI,0,Graduate,48,1591645,115000
Karmveer Azad,All India Majlis-E-Ittehadul Muslimeen,0,12th Pass,45,190000,0
Manjoo Saroj,BJP,0,Graduate,38,22446103,2535405
Nirmala Bharti,INC,0,Graduate,41,1105000,0
Pankaj Kumar,BSP,0,Post Graduate,36,2109000,0
Puja,SP,0,Post Graduate,31,10911028,3600000
Ramlakhan Pal Dhangar,Rashtriya Shoshit Samaj Party,0,8th Pass,60,4380000,0
Ajay Kumar,RLD, 1 ,Doctorate,64,44536185,0
Ajay Kumar,IND,0,12th Pass,48,9465000,1100000
Anees,All India Majlis-E-Ittehadul Muslimeen,0,8th Pass,36,674000,0
Chandrapal,Indian Nationalist Alliance Party (India),0,8th Pass,60,29000,20000
Dr. Rajendra Khokhar,AAP,0,Graduate Professional,61,16754000,0
Kaptan,Akhil Bhartiya Lok Dal,0,Graduate,35,9540999,1924000
Mohd. Yunus,INC, 1 ,Graduate Professional,58,323578000,600000
Naresh,Bhartiya Tarak Samaj Party,0,Literate,64,388000,0
Sahender Singh Ramala,BJP,0,10th Pass,56,845070499,111385036
Sahik,BSP,0,8th Pass,44,10730000,400000
Satveer Kashyap,Vikassheel Insaan Party,0,Literate,47,13310000,0
Ankit Sharma,BSP,0,Graduate,40,17239000,0
Jaiveer,RLD,0,Post Graduate,57,13642734,0
Krishan Pal Malik,BJP,0,10th Pass,61,97599474,36149000
Rahul Kumar,INC,0,Illiterate,34,670000,443000
Renu Bala,IND,0,Post Graduate,52,13642734,0
Sudhir,AAP,0,Post Graduate,55,9507350,800000
Anil,INC,0,Graduate,53,10750000,1700000
Arun Kasana,BSP,0,12th Pass,51,18387326,3000000
Maharaj Singh,IND,0,10th Pass,49,7575000,0
Mohd Ahmed Hameed,RLD,0,Post Graduate,38,135340000,0
Naveen Kumar,AAP,0,Graduate,37,28843901,2302542
Parmod Kumar Goswami,Secular Inqlab Party,0,12th Pass,47,1285000,0
Rasid,Peace Party,0,12th Pass,40,2867000,0
Renu,IND,0,Post Graduate,43,210528303,28452700
Vinay Kasana,IND,0,Graduate Professional,31,7179212,500000
Vinod Kumar,Indian Nationalist Alliance Party (India),0,Graduate,27,25000,0
Yogesh Dhama,BJP, 3 ,Graduate,46,210528303,28452700
Akshaybar Nath Kanaujiya,SP, 12 ,Literate,62,48090093,0
Deepak,Vikassheel Insaan Party, 1 ,Literate,40,427500,0
Jitendra Kumar,Jan Adhikar Party,0,Graduate,29,778000,0
Kanti,AAP,0,Literate,46,3718500,0
Kiran Bharti,INC,0,Graduate,51,20369094,0
Raj Sri,IND,0,Literate,35,880000,0
Ramchandra,BSP,0,12th Pass,55,6771468,550000
Rinku Sahani,SHS,0,Graduate,28,25000,0
Saroj Sonkar,BJP,0,Post Graduate,49,28946401,1228692
Shiv Charan,IND,0,Illiterate,33,280000,0
Vijay,IND,0,8th Pass,47,1150343,0
Amarjeet,IND,0,10th Pass,59,2870000,0
Brijesh Kumar,IND,0,Post Graduate,46,5641515,1008000
Dr.A.M. Siddiquie,INC,0,Graduate,67,33611431,1500000
Faujdar,Vikassheel Insaan Party,0,Literate,41,673000,425000
Hakikat Ali,BSP,0,Graduate Professional,48,37912594,3690652
Kuleraj Yadav(Munshi Ji),CPI, 1 ,12th Pass,57,3759000,0
Madhuri Verma,SP,0,12th Pass,57,41821284,3330594
Maulana Laik Ahmad Shah,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,46,3023916,0
Pradeep,IND,0,10th Pass,53,974800,0
Pradeep Kumar,Sabka Dal United,0,12th Pass,37,4382000,0
Ram Niwas Verma,Apna Dal (Soneylal),0,Graduate,51,32258129,4600018
Ram Sharan,IND,0,Graduate Professional,30,3558000,350000
Santosh Kumar,IND,0,12th Pass,28,854200,0
Tanveer Afsar,AAP,0,Graduate Professional,40,375000,0
Ali Akbar,INC, 2 ,Graduate,46,6762259,0
Aqib Ulla Khan,BSP,0,12th Pass,29,3767000,0
Arun Veer Singh,BJP,0,Graduate,59,150838304,6336837
Gauhar,IND,0,Graduate,31,1139442,300000
Kripa Shankar,Lok Dal,0,5th Pass,28,508000,0
Lal Bahadur,IND,0,8th Pass,29,930125,0
Mariya,SP,0,10th Pass,38,133563136,58309078
Rahul,IND,0,Graduate,30,1010139,0
Santosh Kumar Arya,IND,0,Graduate,36,668600,0
Budharam,AAP,0,Graduate,51,7879853,0
Dileep Kumar,Sarvajan Hitay Party,0,8th Pass,47,20000,0
Dinesh Kumar Shukla,BSP,0,Graduate Professional,51,26272661,400000
Dr. Rajesh Tiwari,INC, 2 ,Doctorate,42,12180086,578000
Gopal,IND,0,8th Pass,53,798800,0
Krishna Kumar Ojha,SP, 3 ,12th Pass,50,13042033,761890
Lekhraj,Sabka Dal United,0,Illiterate,58,470000,0
Sureshwar Singh,BJP, 5 ,12th Pass,63,30808376,0
Anupma Jaiswal,BJP,0,Post Graduate,55,53971873,176662
Dr. Ram Dulare Mishra,IND, 1 ,Post Graduate,50,42285269,19850000
Jai Prakash Mishra,INC, 3 ,Graduate Professional,49,89888989,1345000
Naeem,BSP,0,Graduate,41,11059929,1200000
Rajat Chaurasiya,AAP,0,Graduate,25,306823,0
Rajeev Singh,IND,0,Graduate,30,1794963,800000
Rajwant Singh,SHS, 1 ,Graduate Professional,51,31177000,182000
Rashid Jamil,All India Majlis-E-Ittehadul Muslimeen, 2 ,12th Pass,53,152905,0
Yasar Shah,SP,0,Graduate Professional,44,133563136,58309078
Chhote Lal,IND,0,12th Pass,57,1035847,54329
Geeta,BSP,0,Literate,53,25689262,0
Mukesh Srivastava,SP, 9 ,12th Pass,45,156251731,87187741
Raise Ahmad,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,51,5305000,0
Ram Swaroop,IND,0,12th Pass,48,1686354,4178
Rana Shivam Singh,INC,0,Graduate,35,1152269,0
Subhash Tripathi,BJP, 4 ,Post Graduate,66,48306170,61792
Anand Kumar,SP,0,Graduate Professional,54,16109346,0
Babu Lal,IND,0,8th Pass,52,1698000,0
Baqaullah,BSP,0,Graduate Professional,58,315136123,79447133
Gaurav Verma,BJP,0,Post Graduate,43,27931307,0
Geeta Devi,INC,0,Literate,52,45336835,4817284
Hajratdeen Ansari,Jansatta Dal Loktantrik,0,Literate,60,6563364,0
Harishchandra Vishwakarma,Moulik Adhikar Party, 1 ,Graduate Professional,55,4144500,0
Lalli Ram,IND,0,10th Pass,42,1205200,29000
Mo Bilal Ansari,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,41,13601713,0
Mohd. Salman,AAP,0,Graduate Professional,55,2713768,0
Mohmmad Aslam,SDPI, 1 ,Post Graduate,47,94000,0
Munni,IND,0,Literate,44,2563000,0
Srikant Gupta,Rashtriya Bhagidari Party,0,Post Graduate,69,65388000,1400000
Vinod Kumar,IND,0,Graduate,42,80700,0
Akhilesh Kumar,LJP,0,Graduate,28,1338419,0
Bikau,IND,0,8th Pass,65,1720800,0
Chhathu Ram,BJP, 2 ,Post Graduate,43,10937812,304166
Ganga,IND,0,12th Pass,57,1055000,0
Geeta,INC,0,Graduate,47,43559042,0
Gopal,IND,0,Graduate Professional,62,1915000,500000
Hansu Ram,Suheldev Bharatiya Samaj Party,0,Post Graduate,67,22994398,4100000
Kundan Kanaujiya,Janlok Vikas Party,0,Graduate Professional,26,50000,0
Nirbhay,IND,0,12th Pass,34,2115000,0
Praveen Prakash,BSP,0,Graduate,39,20848823,2500000
Ramlal,Jan Adhikar Party,0,Graduate,51,1340000,0
Shimon Prakash,IND,0,12th Pass,34,6600,0
Shoshila,IND,0,Literate,57,1889000,0
Ashok,IND,0,Literate,59,1018253,0
Babban,BJP, 1 ,12th Pass,67,8681073,0
Chandan,Aazad Samaj Party (Kanshi Ram),0,Graduate,37,5934600,2040000
Mahendra,Suheldev Bharatiya Samaj Party, 1 ,Post Graduate,42,2896469,0
Raj Alias Omlata Raj,INC,0,Post Graduate,29,631000,0
Rajaram,IND,0,10th Pass,46,1699949,0
Ram Ashish Ram,IND,0,Graduate,40,95000,0
Santosh Kumar Pandey,IND,0,12th Pass,51,27378,0
Umashankar Singh,BSP, 1 ,12th Pass,51,540504522,130235095
Ashok,Jan Adhikar Party,0,Graduate,37,10125000,1500000
Brijesh Singh Gat,INC, 2 ,Graduate Professional,47,1777054,0
Dharmendra,IND,0,Graduate,36,2862238,0
Manoj Kumar Chauhan,IND,0,10th Pass,32,963523,0
Mohan,IND,0,8th Pass,43,368366,0
Pradeep Kumar,AAP,0,12th Pass,42,13147251,0
Saddam Hussan,IND,0,Graduate,31,50000,0
Sanjay Yadav,BJP, 2 ,Graduate,42,55928035,15300000
Sanjeev Kumar Verma,BSP,0,Graduate Professional,28,4708262,370000
Shriram Chaudhary,CPI(ML)(L), 3 ,Graduate Professional,63,2520000,0
Ziyauddin Rizvi,SP, 3 ,Graduate,59,34044557,1155000
Avadhesh Verma,Bahujan Mukti Party,0,Post Graduate,46,3650200,0
Avalesh,JD(U),0,12th Pass,53,66432770,0
Bhim,Bharatiya Suheldev Janata Party,0,Not Given,51,881000,0
Dinesh,Rashtriya Yuva Morcha Dal,0,Graduate,41,716800,0
Janardan Singh,IND,0,Literate,60,465016,0
Kamal Dev,BSP,0,12th Pass,49,8840000,100000
Mannu,Naitik Party,0,12th Pass,57,14100,0
Pawan Prakash,Jan Adhikar Party,0,Graduate,28,140000,0
Sangram Singh,SP, 2 ,Graduate Professional,71,37285403,3210470
Santosh,IND,0,Graduate,47,584000,0
Shamim,IND,0,12th Pass,53,31500,0
Upendra Tiwari,BJP, 5 ,Post Graduate,49,59618656,30966472
Vivek,Vikassheel Insaan Party, 6 ,Post Graduate,33,4720000,0
Ajay S/O Kedar,AAP, 1 ,12th Pass,39,3243535,20220
Ajay S/O Rajnarayan,Swadesh Jan Sewak Party,0,Post Graduate,45,3246000,0
Arjun Kumar,IND,0,12th Pass,33,226100,0
Daya Shankar Singh,BJP, 5 ,Post Graduate,51,37713393,0
Dharmendra Kumar,IND,0,Graduate Professional,42,5632771,0
Jitendra Tiwari,Vikassheel Insaan Party,0,12th Pass,59,5705000,550000
M.Shamim Khan,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,39,1840000,0
Narad Rai,SP, 4 ,Post Graduate,60,127927121,880588
Omprakash,INC,0,Graduate,57,75215619,871895
Prakash Kumar,All India Forward Bloc,0,Graduate Professional,37,593672,0
Rama Shankar Tiwari,IND,0,Post Graduate,62,253000,0
Sagar Singh,LJP,0,Graduate,26,251503,0
Shankar Ram Rawat,VANCHITSAMAJ INSAAF PARTY,0,Post Graduate,56,160000,135000
Shivdas Prasad Verma,BSP,0,10th Pass,62,36748232,14000000
Ajay Shankar,Vikassheel Insaan Party, 4 ,12th Pass,36,7422560,0
Dayashanker Verma,Jan Adhikar Party,0,10th Pass,42,26761380,750000
Ketakee Singh,BJP, 3 ,Graduate,37,20350405,0
Lakshman,CPI, 1 ,Literate,60,2353100,0
Mamata,Swadesh Jan Sewak Party,0,12th Pass,50,1096500,0
Manti,BSP, 1 ,12th Pass,49,7325242,527298
Pramod Paswan,IND,0,Illiterate,37,26000,0
Puneet,INC,0,Graduate Professional,38,5190809,0
Ram Govind,SP, 1 ,Graduate Professional,75,10383841,0
Sangram Singh Tomar,LJP,0,12th Pass,51,1865000,0
Sushant,AAP,0,Graduate,36,2036217,254032
Swami Nath Sahani,IND, 4 ,12th Pass,36,782200,0
Vinod Kumar Verma,IND, 1 ,10th Pass,39,3267931,0
Anand Swarup Shukla,BJP, 2 ,Post Graduate,42,1821034,0
Ashok Kumar Maurya,Jan Adhikar Party,0,10th Pass,39,930150,0
Jai Prakash Anchal,SP, 1 ,Post Graduate,54,22821706,285000
Kumari Sona,INC,0,Graduate,26,591500,0
Rajnish,AAP,0,Graduate,53,778717,0
Subhash Yadav,BSP, 2 ,12th Pass,53,17252729,700000
Surendra Nath Singh,Vikassheel Insaan Party, 4 ,Post Graduate,63,17073589,0
Surya Bali Prasad,Bahujan Mukti Party,0,Doctorate,61,15865000,700000
Babita,INC,0,Graduate Professional,47,185271,0
Hari Ram,BSP,0,12th Pass,78,13059683,0
Hariram,Bharatiya Subhash Sena, 1 ,Graduate,56,352000,0
Jagram Paswan,SP, 1 ,10th Pass,41,11864639,1800000
Jay Mangal,IND,0,8th Pass,38,973732,0
Lal Ji,Aazad Samaj Party (Kanshi Ram),0,10th Pass,32,239000,0
Madan Lal,IND,0,Post Graduate,44,215794,50000
Paltoo Ram,BJP,0,Post Graduate,50,98020497,3614512
Ravindra Kumar,IND,0,8th Pass,36,200240,50000
Santosh Kumari,India Janshakti Party,0,12th Pass,32,176000,0
Uma Devi,Bahujan Mukti Party,0,Illiterate,50,6558270,2500000
Abdul Mannan,All India Majlis-E-Ittehadul Muslimeen, 2 ,Post Graduate,61,28813432,11152303
Ajay Kumar Chaturvedi,Republican Sena,0,Post Graduate,38,4890000,350000
Dhirendra Pratap Singh Alias Dhiru Singh,INC, 8 ,Post Graduate,57,75227914,672367
Gyanendra Kumar Mishra,IND,0,10th Pass,46,1175000,0
Hasib Khan,SP, 1 ,Graduate,43,73112482,37376098
Mustaqeem Ahmad,AAP,0,Graduate Professional,43,1380000,0
Premlal,IND,0,5th Pass,55,3348700,0
Ram Pratap,BSP,0,10th Pass,26,360000,0
Rampratap Verma Alias Shashikant Verma,BJP,0,Post Graduate,47,35980551,0
Sahbaj Faraz Khan,IND,0,10th Pass,37,92402,0
Sanchit,IND, 1 ,8th Pass,50,6400000,0
Alauddin,BSP, 3 ,8th Pass,67,15295675,1612660
Ayesha,IND,0,Graduate,37,9642011,342000
Dr. Ishtiyaq Ahamad Khan,INC,0,Graduate Professional,53,29942856,6500000
Dr. Shiv Pratap Yadav,SP, 2 ,Doctorate,70,19740932,0
Nand Kumar Pandey,Lok Dal,0,Post Graduate,42,4545354,0
Ram Saran,Republican Sena,0,8th Pass,48,2500000,0
Satya Prakash,Samyak Party,0,Post Graduate,43,1830850,338000
Shahabuddin,All India Majlis-E-Ittehadul Muslimeen,0,8th Pass,51,9025000,500000
Shailesh Kumar Singh (Shailu),BJP, 9 ,Post Graduate,53,40494227,32360
Thaneshwar Nath,Bharatiya Subhash Sena,0,10th Pass,61,1578000,0
Abdul Mashhood Khan,SP,0,12th Pass,50,30028387,0
Atmaram,Bharatiya Subhash Sena,0,Literate,45,5516000,35000
Bhuwan Pratap Singh,BSP,0,Post Graduate,36,20943936,350000
Dheeraj Kumar,IND,0,Literate,39,2011000,0
Dipendra Singh Dipankar,INC, 2 ,Graduate,32,8882894,0
Hidaytulla,AAP,0,Literate,63,2655000,0
Kailash Nath,BJP,0,Graduate Professional,62,18457290,419657
Mohammad Aamir Shah,IND, 2 ,8th Pass,49,1140000,0
Moteen,IND,0,Literate,51,4790310,0
Mujeeburrahman,IND,0,10th Pass,60,409000,116000
Raksharam,IND,0,Literate,55,2985000,335000
Shubham Singh,IND, 1 ,Graduate Professional,29,255000,0
Suresh,Jan Adhikar Party,0,Literate,42,7040000,0
Vijay Pratap,IND,0,Graduate,30,1018500,0
Zeba Rizwan,IND, 1 ,Post Graduate,38,43977402,330340
Adishakti,INC,0,Post Graduate,44,37597814,1700000
Arvind Kumar,IND,0,Graduate,29,397500,0
Brajesh Kumar Prajapati,SP, 1 ,Graduate Professional,36,20764920,0
Jayram Singh,BSP, 1 ,Post Graduate,49,33641912,0
Madhuraj,IND,0,Graduate,33,9283277,0
Moolchandra,Bhartiya Shakti Chetna Party,0,8th Pass,41,3606500,0
Ramchandra,CPI,0,Literate,55,1270304,30000
Ramkesh Nishad,BJP, 1 ,Graduate Professional,47,9538916,0
Uttam,IND, 1 ,Graduate,31,1445500,0
Ajay Kumar,BJP,0,Post Graduate,44,35208000,500000
Ashok Kumar,Jan Adhikar Party,0,Graduate,32,8879500,0
Gajendra,INC,0,Post Graduate,48,10984302,0
Jagrup Bhaskar,Ambedkar Samaj Party,0,Literate,57,2610000,0
Jaypal,Bharat Swabhiman Party,0,Literate,43,3760000,0
Jiyalal Dhuriya,Bhartiya Shakti Chetna Party,0,12th Pass,48,2328251,0
Rajbahadur,RASHTRIYA VIKLANG PARTY,0,Post Graduate,38,4472000,0
Ramchand Saras,CPI,0,Graduate,60,7140000,200000
Ramsevak Shukla,BSP, 2 ,Graduate,59,17150000,0
Samta Devi,Bahujan Mukti Party,0,Post Graduate,36,6190102,1500000
Simmi Burman,Aazad Samaj Party (Kanshi Ram),0,10th Pass,46,7870000,0
Vishambhar Singh,SP, 1 ,Post Graduate,67,76265268,520000
Dayaram,CPI,0,8th Pass,43,12000,0
Gayacharan Dinkar,BSP,0,12th Pass,61,7087812,159461
Kiran Verma,SP,0,Post Graduate,49,19095434,4500000
Lavlesh Kumar,Ambedkar Samaj Party,0,Graduate Professional,33,2300000,0
Ommani Varma,BJP,0,Graduate,36,5177561,200
Pawan Devi,INC,0,Post Graduate,36,5992254,1442175
Radhe Shyam,AAP,0,Graduate,26,813532,0
Ritesh Kumar,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,26,3749000,0
Shankar Lal,Jan Adhikar Party,0,10th Pass,54,4955000,0
Devnath Yadav,CPI,0,12th Pass,49,555912,0
